STAIDT,site_no,STATION_NAME,LATITUDE,LONGITUDE,FINAL_REFERENCE,DA_SQKM,NHDV2_COMID
T10277400,10277400,OWENS R BL TINEMAHA RE NR BIG PINE CA,37.05298833,-118.2273207,N,1964,20277855
T10277500,10277500,OWENS R NR BIG PINE CA,37.0152113,-118.2245425,N,1976,20265515
T10281500,10281500,OAK C NR INDEPENDENCE CA,36.8332662,-118.2439859,N,26.9,20267019
T10281800,10281800,INDEPENDENCE C BL PINYON C NR INDEPENDENCE CA,36.77854383,-118.2645412,Y,18.1,20267023
T10284800,10284800,INYO C NR LONE PINE CA,36.59771177,-118.183701,N,1.71,20266795
T10285700,10285700,OWENS R A KEELER BRIDGE NR LONE PINE CA,36.5793779,-118.0192532,N,2604,20266801
T10286000,10286000,COTTONWOOD C NR OLANCHA CA,36.43882461,-118.0809189,N,40.1,20267693
T10286001,10286001,COTTONWOOD C NR OLANCHA CA.+ PH CA,36.4388246,-118.0809189,N,NA,20267693
T10287069,10287069,MILL C BL LUNDY LK NR LEE VINING CA,38.0329787,-119.2165424,N,17.1,20286400
T10287070,10287070,MILL C BL LUNDY LK NR MONO LK(ACTUAL) CA,38.0327009,-119.215709,Y,17.1,20286400
T10287145,10287145,UP CONWAY D NR LEE VINING CA,38.04214527,-119.1726516,NA,NA,20286396
T10287195,10287195,LUNDY PP TAILRACE NR LEE VINING CA,38.04270081,-119.1726516,NA,NA,20286396
T10287281,10287281,RUSH C BL GEM LK NR JUNE LK CA,37.75132009,-119.1415343,N,22,20287438
T10287289,10287289,RUSH C BL AGNEW LK NR JUNE LAKE CA,37.7590977,-119.130701,N,23.3,20287432
T10287290,10287290,RUSH C BL AGNEW LK NR JUNE LAKE CA (ACTUAL) CA,37.75881993,-119.130701,N,23.3,20287432
T10287300,10287300,RUSH C PP TAILRACE NR JUNE LAKE CA,37.76631976,-119.1223677,N,NA,20287600
